"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"676",35,16,2,2,1
"677",36,16,2,2,1
"678",37,16,2,1,1
"679",38,16,2,2,2
"680",39,16,2,2,2
"681",0,17,2,2,1
"682",1,17,2,2,1
"683",2,17,2,2,2
"684",3,17,2,2,2
"685",4,17,2,1,1
"686",5,17,2,1,1
"687",6,17,2,2,2
"688",7,17,2,1,1
"689",8,17,2,2,2
"690",9,17,2,2,2
"691",10,17,2,2,2
"692",11,17,2,2,2
"693",12,17,2,2,2
"694",13,17,2,2,2
"695",14,17,2,1,2
"696",15,17,2,1,2
"697",16,17,2,2,2
"698",17,17,2,2,2
"699",18,17,2,1,2
"700",19,17,2,2,2
"701",20,17,2,2,2
"702",21,17,2,1,1
"703",22,17,2,2,2
"704",23,17,2,2,2
"705",24,17,2,2,2
"706",25,17,2,1,2
"707",26,17,2,1,2
"708",27,17,2,1,2
"709",28,17,2,2,2
"710",29,17,2,2,1
"711",30,17,2,1,1
"712",31,17,2,1,1
"713",32,17,2,1,1
"714",33,17,2,2,2
"715",34,17,2,1,1
"716",35,17,2,2,1
"717",36,17,2,2,2
"718",37,17,2,2,2
"719",38,17,2,1,1
"720",39,17,2,2,2
"721",0,18,2,2,1
"722",1,18,2,2,2
"723",2,18,2,1,1
"724",3,18,2,1,1
"725",4,18,2,1,1
"726",5,18,2,2,2
"727",6,18,2,2,2
"728",7,18,2,2,2
"729",8,18,2,2,2
"730",9,18,2,2,2
"731",10,18,2,2,2
"732",11,18,2,2,2
"733",12,18,2,2,2
"734",13,18,2,2,2
"735",14,18,2,2,2
"736",15,18,2,2,2
"737",16,18,2,2,2
"738",17,18,2,2,2
"739",18,18,2,2,2
"740",19,18,2,2,2
"741",20,18,2,1,2
"742",21,18,2,2,2
"743",22,18,2,2,2
"744",23,18,2,2,2
"745",24,18,2,2,2
"746",25,18,2,1,2
"747",26,18,2,1,2
"748",27,18,2,2,2
"749",28,18,2,1,2
"750",29,18,2,2,2
"751",30,18,2,2,2
"752",31,18,2,2,2
"753",32,18,2,1,1
"754",33,18,2,2,2
"755",34,18,2,1,1
"756",35,18,2,1,1
"757",36,18,2,2,2
"758",37,18,2,2,2
"759",38,18,2,2,2
"760",39,18,2,2,2
"761",0,19,2,2,2
"762",1,19,2,2,2
"763",2,19,2,1,1
"764",3,19,2,1,1
"765",4,19,2,1,1
"766",5,19,2,2,2
"767",6,19,2,2,2
"768",7,19,2,2,2
"769",8,19,2,2,2
"770",9,19,2,2,2
"771",10,19,2,1,2
"772",11,19,2,1,2
"773",12,19,2,2,2
"774",13,19,2,2,2
"775",14,19,2,2,2
"776",15,19,2,2,2
"777",16,19,2,1,1
"778",17,19,2,1,1
"779",18,19,2,1,1
"780",19,19,2,1,1
"781",20,19,2,1,2
"782",21,19,2,2,2
"783",22,19,1,1,1
"784",23,19,2,2,2
"785",24,19,2,2,2
"786",25,19,2,2,2
"787",26,19,2,2,2
"788",27,19,2,2,2
"789",28,19,2,2,2
"790",29,19,2,2,2
"791",30,19,2,2,2
"792",31,19,2,1,1
"793",32,19,2,1,1
